element,atomic_number,Etot,Ekin,Ecoul,Eenuc,Exc,e_1s,e_2s,e_2p,e_3s,e_3p,e_3d,e_4s,e_4p,e_4d,e_4f,e_5s,e_5p,e_5d,e_5f,e_6s,e_6p,e_6d,e_7s,occ_1s,occ_2s,occ_2p,occ_3s,occ_3p,occ_3d,occ_4s,occ_4p,occ_4d,occ_4f,occ_5s,occ_5p,occ_5d,occ_5f,occ_6s,occ_6p,occ_6d,occ_7s
Tb,65,-305391.809,305262.8916,121403.0969,-725553.767,-6504.030383,-48581.35705,-7758.538012,-7390.356309,-1710.278157,-1545.201643,-1236.590509,-329.815226,-264.9201788,-148.7826625,-6.97457762,-41.18903181,-24.14275822,0,0,-3.583113707,0,0,0,2,2,6,2,6,10,2,6,10,9,2,6,0,0,2,0,0,0
Dy,66,-316682.5664,316550.9637,126195.7298,-752749.175,-6680.085195,-50156.83218,-8036.68853,-7661.597938,-1776.888338,-1607.973358,-1292.178935,-341.5369388,-274.674209,-154.7335206,-7.219235194,-42.12260005,-24.58521536,0,0,-3.61282854,0,0,0,2,2,6,2,6,10,2,6,10,10,2,6,0,0,2,0,0,0
Ho,67,-328217.4972,328083.1886,131126.1361,-780567.8127,-6859.009366,-51757.46913,-8319.59002,-7937.588416,-1844.537205,-1671.766998,-1348.759462,-353.3534017,-284.5032883,-160.7157534,-7.419919167,-43.05080764,-25.01986283,0,0,-3.642107992,0,0,0,2,2,6,2,6,10,2,6,10,11,2,6,0,0,2,0,0,0
Er,68,-339998.6057,339861.5719,136195.9815,-809015.3491,-7040.810216,-53383.27512,-8607.250754,-8218.335798,-1913.236431,-1736.594071,-1406.342918,-365.2733222,-294.4156071,-166.7362182,-7.580466346,-43.9755866,-25.44814284,0,0,-3.670952062,0,0,0,2,2,6,2,6,10,2,6,10,12,2,6,0,0,2,0,0,0
Tm,69,-352027.894,351888.1159,141406.9925,-838097.5057,-7225.496507,-55034.2561,-8899.677617,-8503.84686,-1982.99584,-1802.464211,-1464.938421,-377.3039659,-304.4178869,-172.8006566,-7.704087674,-44.89851519,-25.87117105,0,0,-3.699469594,0,0,0,2,2,6,2,6,10,2,6,10,13,2,6,0,0,2,0,0,0
Yb,70,-364307.3613,364164.8201,146760.9408,-867820.0443,-7413.078007,-56710.41711,-9196.876459,-8794.127343,-2053.823731,-1869.385636,-1524.553697,-389.451428,-314.5158962,-178.9138577,-7.793558712,-45.82087234,-26.28992707,0,0,-3.72766059,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,0,0,2,0,0,0
Lu,71,-376829.5457,376684.5947,151709.6095,-897633.0677,-7590.681963,-58419.72651,-9507.399628,-9097.607308,-2135.070618,-1946.669347,-1594.396265,-410.439407,-333.3640806,-193.5644953,-15.45867968,-50.94205523,-30.2588166,-2.821439794,0,-4.220812543,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,1,0,2,0,0,0
Hf,72,-389598.8517,389451.4525,156753.5693,-928034.2409,-7769.632665,-60154.90516,-9823.488044,-9406.623103,-2218.348725,-2025.959979,-1666.192446,-432.2154549,-352.9646326,-208.8919617,-23.71673676,-55.77866145,-33.91738748,-3.913133399,0,-4.529743411,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,2,0,2,0,0,0
Ta,73,-402616.5198,402466.6463,161890.2694,-959023.4043,-7950.031258,-61916.00966,-10145.18641,-9721.222402,-2303.674245,-2107.275384,-1739.964636,-454.7930686,-373.3350491,-224.9251826,-32.63589446,-60.51287121,-37.45728951,-4.96509838,0,-4.756931275,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,3,0,2,0,0,0
W,74,-415883.829,415731.4586,167122.3895,-990605.6859,-8131.991077,-63703.02222,-10472.46954,-10041.38175,-2391.004427,-2190.573791,-1815.673951,-478.1257438,-394.4318192,-241.628756,-42.20037019,-65.19897125,-40.93836052,-6.00291344,0,-4.936499213,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,4,0,2,0,0,0
Re,75,-429402.0974,429247.2085,172453.1366,-1022786.835,-8315.607416,-65515.91783,-10805.30697,-10367.072,-2480.295897,-2275.812805,-1893.28009,-502.1677655,-416.2116223,-258.965756,-52.38409543,-69.86109806,-44.38794795,-7.037925727,0,-5.084692423,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,5,0,2,0,0,0
Os,76,-443172.6749,443015.2467,177885.5508,-1055572.514,-8500.958589,-67354.67406,-11143.67209,-10698.26753,-2571.512028,-2362.956426,-1972.748848,-526.8812009,-438.6385937,-276.9052978,-63.16238947,-74.51274848,-47.82139903,-8.076094535,0,-5.210681141,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,6,0,2,0,0,0
